[2020-10-15T22:24:37.024] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:25:07.956] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:25:25.666] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:26:19.046] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T22:26:19.049] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:26:20.034] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-15T22:26:20.038] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:26:46.885] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:26:48.023] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-15T22:27:15.957] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND `Admin`.`id` = 1);
[2020-10-16T09:07:45.883] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-16T09:14:05.685] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-16T09:16:25.014] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
[2020-10-16T09:17:36.153] [INFO] sql - Executing (default): SELECT `id`, `loginId`, `loginPwd`, `name`, `deletedAt` FROM `Admin` AS `Admin` WHERE (`Admin`.`deletedAt` IS NULL AND (`Admin`.`loginId` = 'mrtq' AND `Admin`.`loginPwd` = '123123')) LIMIT 1;
